Base,Country,Latitude,Longitude,Mission Complexity,Maintenance Burden,Personnel Gaps,Logistics Readiness,Equipment Availability,Cyber Resilience,Fuel Supply Score,Flight Ops Readiness,Medical Support Score,Training Level
Name of the base,Country location of base,Geographical latitude,Geographical longitude,How complex are the base's mission types,Total burden from unresolved maintenance issues,Shortage of skilled personnel,Readiness of logistics infrastructure and systems,Availability of key operational equipment,Base's ability to defend and recover from cyber threats,Security and availability of fuel resources,Readiness of flight operations capability,Adequacy of medical staff and facilities,Proficiency level of personnel training
Base 1,Germany,34.9816,126.6929,8,4,6,72.3,46.0,62.1,60.0,48.6,82.5,52.8
Base 2,USA,48.88,123.4092,2,4,0,65.2,71.5,60.2,57.5,76.7,57.0,64.6
Base 3,Italy,34.6545,-6.8611,3,6,3,79.6,42.8,72.5,50.2,43.9,97.4,98.3
Base 4,UK,52.3359,-47.7543,5,1,3,62.1,81.0,72.7,90.0,50.4,69.6,59.1
Base 5,UK,50.2145,-15.2079,6,9,3,59.2,98.2,84.3,96.4,93.7,79.9,96.1
Base 6,Japan,23.5397,-77.0846,9,7,4,69.4,56.3,88.0,61.4,56.9,77.1,57.0
Base 7,Germany,52.0879,-109.8713,7,8,7,69.7,57.6,31.0,51.9,82.7,89.5,80.3
Base 8,South Korea,57.052,45.7908,7,8,7,72.5,45.7,56.0,80.1,80.0,79.6,63.7
Base 9,Germany,42.4497,-26.6097,3,0,4,78.1,86.3,64.6,71.4,65.7,51.3,55.4
Base 10,Spain,21.2572,41.8308,4,3,4,62.5,64.6,82.9,53.7,44.6,64.5,58.1
Base 11,Turkey,57.1879,88.1925,9,4,5,72.8,53.1,59.2,93.0,59.5,56.1,67.8
Base 12,USA,56.2731,-56.5243,9,3,8,65.2,49.9,67.4,69.1,81.5,63.5,62.2
Base 13,USA,26.7316,-70.9337,8,8,3,68.2,98.3,97.4,55.1,69.8,65.0,64.2
Base 14,Germany,21.4755,34.5824,2,5,6,63.9,94.5,46.8,48.7,69.4,99.3,62.1
